AreaZone,IntersectionType,CollisionType,Municipality,Latitude,Longitude,RoadCategory,RoadNumber,TrafficRegime,NrOfTrafficLanes,UpstreamTerminalNumber,DistanceToPR,AccidentSituation,StruckWithFixedObject,StruckWithMovingObject,InitialShockPoint
1,1,3,363,0,0,3,982,2,2,6,30,1,0,2,7
2,1,3,7,,,4,0,3,6,38,950,1,0,2,7
2,1,7,261,,,4,0,2,2,,,1,0,0,1
2,1,7,312,,,4,0,2,2,0,0,1,0,0,0
1,1,2,258,0,0,1,54,1,2,11,0,1,0,2,4
2,2,3,17,,,4,,2,2,1009,0,1,0,2,8
1,1,1,204,4804775,-158231,3,34,2,2,26,868,1,0,2,8
2,1,3,7,,,3,0,2,2,,,1,0,2,2
2,1,6,376,4,0,2,84,2,2,5,585,1,1,2,3
2,3,2,112,,,4,0,1,3,,,1,0,2,5
2,1,2,11,,,4,0,0,2,,,1,0,2,4
1,1,1,353,0,0,3,35,2,0,15,950,1,0,2,1
2,3,3,27,,,4,0,2,2,,,2,0,2,1
1,1,6,454,,,2,44,3,4,1,0,3,15,0,1
2,5,3,117,,,4,0,1,1,,,1,0,2,8
1,1,6,5,4328300,557998,1,502,1,1,0,500,1,5,0,1
1,1,5,154,,,1,1,3,4,22,400,1,14,2,4
2,1,6,482,4857075,776418,4,0,2,1,,,0,0,1,4
1,1,3,175,,,3,0,2,4,,,1,0,2,6
1,1,6,76,4364900,346500,3,908,2,2,75,800,3,6,0,1
2,1,6,4,,,4,0,2,2,,,1,0,0,0
2,1,6,445,,,4,0,2,2,,,4,8,0,1
2,3,6,115,,,4,0,0,1,,,1,0,1,7
2,2,3,22,4881040,219251,4,0,2,2,0,0,1,0,2,2
2,1,3,482,,,4,0,2,2,,,1,0,2,8
2,1,2,512,,,4,0,1,1,,,1,0,2,3
2,1,2,112,,,4,0,2,4,,,1,0,2,3
1,1,2,231,0,0,3,7,2,1,3,900,1,0,2,5
1,1,7,13,4325900,275400,3,124,2,2,1,950,1,0,0,9
1,1,5,28,4838100,759800,2,83,1,2,22,7,1,0,0,0
